DOWN,100247,Thu May 14 2020 17:40:02 GMT-0300 (Brasilia Standard Time)
DOWN,111325,Thu May 14 2020 17:45:13 GMT-0300 (Brasilia Standard Time)
DOWN,120216,Thu May 14 2020 17:50:22 GMT-0300 (Brasilia Standard Time)
UP,98969,500,Thu May 14 2020 18:01:19 GMT-0300 (Brasilia Standard Time)
UP,101180,500,Thu May 14 2020 18:02:21 GMT-0300 (Brasilia Standard Time)
UP,103578,500,Thu May 14 2020 18:03:23 GMT-0300 (Brasilia Standard Time)
UP,57836,200,Thu May 14 2020 18:04:37 GMT-0300 (Brasilia Standard Time)
UP,118819,200,Thu May 14 2020 18:04:38 GMT-0300 (Brasilia Standard Time)
UP,62640,200,Thu May 14 2020 18:05:42 GMT-0300 (Brasilia Standard Time)
UP,7463,200,Thu May 14 2020 18:05:47 GMT-0300 (Brasilia Standard Time)
UP,48281,true,200,Thu May 14 2020 18:08:58 GMT-0300 (Brasilia Standard Time)
UP,5865,true,200,Thu May 14 2020 18:10:16 GMT-0300 (Brasilia Standard Time)
UP,2842,true,200,Thu May 14 2020 18:12:13 GMT-0300 (Brasilia Standard Time)
UP,27039,true,200,Thu May 14 2020 18:14:37 GMT-0300 (Brasilia Standard Time)
UP,6443,true,200,Thu May 14 2020 18:16:16 GMT-0300 (Brasilia Standard Time)
DOWN,116391,false,500,Thu May 14 2020 18:20:06 GMT-0300 (Brasilia Standard Time)
DOWN,119540,false,500,Thu May 14 2020 18:22:09 GMT-0300 (Brasilia Standard Time)
DOWN,104955,false,500,Thu May 14 2020 18:28:23 GMT-0300 (Brasilia Standard Time)
DOWN,112056,false,500,Thu May 14 2020 18:30:30 GMT-0300 (Brasilia Standard Time)
UP,15773,true,200,Thu May 14 2020 18:30:54 GMT-0300 (Brasilia Standard Time)
UP,6902,true,200,Thu May 14 2020 18:32:45 GMT-0300 (Brasilia Standard Time)
UP,6899,true,200,Thu May 14 2020 18:34:45 GMT-0300 (Brasilia Standard Time)
UP,6677,true,200,Thu May 14 2020 18:36:45 GMT-0300 (Brasilia Standard Time)
DOWN,104270,false,500,Thu May 14 2020 18:40:22 GMT-0300 (Brasilia Standard Time)
DOWN,108849,false,500,Thu May 14 2020 18:42:27 GMT-0300 (Brasilia Standard Time)
UP,50538,true,200,Thu May 14 2020 18:43:29 GMT-0300 (Brasilia Standard Time)
UP,5438,true,200,Thu May 14 2020 18:44:43 GMT-0300 (Brasilia Standard Time)
UP,8692,true,200,Thu May 14 2020 18:46:47 GMT-0300 (Brasilia Standard Time)
UP,8427,true,200,Thu May 14 2020 18:48:46 GMT-0300 (Brasilia Standard Time)
UP,8549,true,200,Thu May 14 2020 18:50:47 GMT-0300 (Brasilia Standard Time)
UP,4825,true,200,Thu May 14 2020 18:52:43 GMT-0300 (Brasilia Standard Time)
UP,5548,true,200,Thu May 14 2020 18:54:44 GMT-0300 (Brasilia Standard Time)
UP,6392,true,200,Thu May 14 2020 18:56:44 GMT-0300 (Brasilia Standard Time)
UP,7771,true,200,Thu May 14 2020 18:58:46 GMT-0300 (Brasilia Standard Time)
UP,6288,true,200,Thu May 14 2020 19:00:44 GMT-0300 (Brasilia Standard Time)
UP,4829,true,200,Thu May 14 2020 19:02:43 GMT-0300 (Brasilia Standard Time)
